"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","MPN"
"R19","1","0R","DNP","Excluded from BOM","Excluded from board","RMCF0603ZT0R00"
"R58","1","0R","","","","RMCF0603ZT0R00"
"C5","1","18pF","","","","GRM1885C2E180JW07D"
"C11","1","6800pF","","","","GRM1885C1H682JA01D"
"C1,C2,C3,C4,C7,C12,C13,C18,C19,C21,C22,C23,C25,C26,C28,C29,C30,C31,C32,C33,C35,C39,C40,C41,C42,C43,C44,C45","28","0.1µF","","","","GRM188R72A104MA35J"
"C46","1","0.1µF","DNP","Excluded from BOM","Excluded from board","GRM188R72A104MA35J"
"C20","1","0.22µF","","","","GRM188R71H224KAC4D"
"C34,C38","2","1µF","","","","GRM188D71H105KE01J"
"C36,C37","2","2.2µF","","","","GRM188R61E225KA12J"
"L1","1","4.7µH","","","","CLF7045NIT-4R7N-D"
"C14","1","4.7µF","","","","GRM188R6YA475KE15D"
"C15,C16","2","10µF","","","","GRM188R6YA106MA73D"
"L2","1","15µH","","","","CLF5030NIT-150M-D"
"C6,C8,C9,C10","4","22µF","","","","C2012X5R1V226M125AC"
"C17","1","22µF","","","","GRM188C61E226ME01J"
"C24","1","100µF","","","","ECA-1VM101"
"C27","1","6800µF","","","","EEU-HD1V682"
"R25,R32,R42,R44,R46,R53,R55","7","1KΩ","","","","RMCF0603FG1K00"
"R3,R12","2","3kΩ","","","","RMCF0603FT3K00"
"R56,R57","2","4.7KΩ","","","","RMCF0603FT4K70"
"R39,R40","2","5.1KΩ","","","","RMCF0603FT5K10"
"F1","1","10A Slow Blow","","","","3413.0328.22"
"R21,R26,R28,R34,R35,R41,R43,R45,R47,R52,R54,R59","12","10KΩ","","","","RMCF0603FG10K0"
"RN1,RN2","2","10kΩ","","","","RAVF164DJT10K0"
"R1,R7,R10,R16,R23,R33","6","15kΩ","","","","RMCF0603FG15K0"
"R22","1","20KΩ","","","","RMCF0603FG20K0"
"R8,R17","2","24kΩ","","","","RMCF0603FG24K0"
"R48","1","33Ω","","","","RMCF0603FT33R0"
"RN3,RN4","2","33Ω","","","","RAVF164DJT33R0"
"R14,R31","2","51kΩ","","","","RMCF0603FT51K0"
"R4,R13,R24,R27,R36","5","100kΩ","","","","RMCF0603FG100K"
"R6,R15,R30,R50,R51","5","100Ω","","","","RMCF0603FG100R"
"R18","1","178kΩ","","","","RMCF0603FT178K"
"FB1","1","220 Ohms","","","","MPZ1608S221ATA00"
"R2,R5,R11","3","220kΩ","","","","RMCF0603FT220K"
"R29","1","220Ω","","","","RPCQ2512JT220R"
"R49","1","280Ω","","","","RMCF0603FT280R"
"R9","1","365kΩ","","","","RMCF0603FT365K"
"R37,R38","2","400mΩ","","","","CSRN2010FKR400"
"R20","1","402kΩ","","","","RMCF0603FT402K"
"Y1","1","8Mhz","","","","CSTNE8M00G550000R0"
"J3,J6","2","0530470210","","","","0530470210"
"J7,J8,J9","3","0530470410","","","","0530470410"
"J5","1","0530470810","","","","0530470810"
"J2","1","2169890002","","","","2169890002"
"J1","1","54-00128","","","","54-00128"
"U10","1","A4985SESTR-T","","","","A4985SESTR-T"
"U13","1","ATTINY85-20PU","","","","ATTINY85-20PU"
"U12","1","ATTINY85-20SU","DNP","Excluded from BOM","Excluded from board","ATTINY85-20SU"
"J4","1","B34B-PHDSS","","","","B34B-PHDSS"
"U6","1","BD9E302EFJ-E2","","","","BD9E302EFJ-E2"
"U8","1","BD9G102G-LBTR","","","","BD9G102G-LBTR"
"D6,D8","2","BZT52C15T-7","","","","BZT52C10T-7"
"D1,D2,D3,D4,D11,D12,D13,D14,D15,D16,D17,D18,D19,D20,D21","15","ESD5Z3.3T1G","","","","ESD5Z3.3T1G"
"U9","1","LD39200PU33R","","","","LD39200PU33R"
"D7,D10","2","LTST-C171GKT","","","","LTST-C171GKT"
"U1,U2,U3,U4","4","MIC7211YM5-TR","","","","MIC7211YM5-TR"
"Q1,Q2","2","MMBT2222A-7-F","","","","MMBT2222A-7-F"
"SW1","1","PTS636 SP50 SMTR LFS","","","","PTS636 SP50 SMTR LFS"
"U7","1","SI3474DV-T1-BE3","","","","SI3474DV-T1-BE3"
"U14","1","SN74LVC541ARGYR","","","","SN74LVC541ARGYR"
"U15","1","SN74LVC2G34DBVR","","","","SN74LVC2G34DBVR"
"U5","1","SQM120P06-07L_GE3","","","","SQM120P06-07L_GE3"
"D9","1","SS26FL","","","","SS26FL"
"U16","1","STM32H743VIT6","","","","STM32H743VIT6"
"D5","1","SZSMF6L28AT3G","","","","SZSMF6L28AT3G"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12","12","TestPoint","","Excluded from BOM","",""
"U11","1","USBLC6-2SC6","","","","USBLC6-2SC6"
"U17","1","W25Q128JVSIQ","DNP","Excluded from BOM","Excluded from board","W25Q128JVSIQ"
